PSC Code (Description),4-Digit PSC,Level 1,Level 1 Category,Level 2,Level 2 Category,,
AL93 R&D- INCOME SECURITY: OTHER (ADVANCED DEVELOPMENT),AL93,17,Research and Development,17.1,Systems Development,,
AL94 R&D- INCOME SECURITY: OTHER (ENGINEERING DEVELOPMENT),AL94,17,Research and Development,17.1,Systems Development,,
AL95 R&D- INCOME SECURITY: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),AL95,17,Research and Development,17.2,Operational Systems Development,,
AL97 R&D- INCOME SECURITY: OTHER (COMMERCIALIZED),AL97,17,Research and Development,17.4,Commericalization,,
AM11 (R&D- INTERNATIONAL AFFAIRS AND COOPERATION (BASIC RESEARCH)),AM11,17,Research and Development,17.3,Technology Base,,
AM12 (R&D- INTERNATIONAL AFFAIRS AND COOPERATION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AM12,17,Research and Development,17.3,Technology Base,,
AM13 (R&D- INTERNATIONAL AFFAIRS AND COOPERATION (ADVANCED DEVELOPMENT)),AM13,17,Research and Development,17.1,Systems Development,,
AM14 R&D- INTERNATIONAL AFFAIRS AND COOPERATION (ENGINEERING DEVELOPMENT),AM14,17,Research and Development,17.1,Systems Development,,
AM15 R&D- INTERNATIONAL AFFAIRS AND COOPERATION (OPERATIONAL SYSTEMS DEVELOPMENT),AM15,17,Research and Development,17.2,Operational Systems Development,,
AM17 R&D- INTERNATIONAL AFFAIRS AND COOPERATION (COMMERCIALIZED),AM17,17,Research and Development,17.4,Commericalization,,
AN11 (R&D- MEDICAL: BIOMEDICAL (BASIC RESEARCH)),AN11,17,Research and Development,17.3,Technology Base,,
AN12 (R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN12,17,Research and Development,17.3,Technology Base,,
AN13 (R&D- MEDICAL: BIOMEDICAL (ADVANCED DEVELOPMENT)),AN13,17,Research and Development,17.1,Systems Development,,
AN14 (R&D- MEDICAL: BIOMEDICAL (ENGINEERING DEVELOPMENT)),AN14,17,Research and Development,17.1,Systems Development,,
AN15 (R&D- MEDICAL: BIOMEDICAL (OPERATIONAL SYSTEMS DEVELOPMENT)),AN15,17,Research and Development,17.2,Operational Systems Development,,
AN17 (R&D- MEDICAL: BIOMEDICAL (COMMERCIALIZED)),AN17,17,Research and Development,17.4,Commericalization,,
AN21 (R&D- MEDICAL: DRUG DEPENDENCY (BASIC RESEARCH)),AN21,17,Research and Development,17.3,Technology Base,,
AN22 (R&D- MEDICAL: DRUG DEPENDENCY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN22,17,Research and Development,17.3,Technology Base,,
AN23 R&D- MEDICAL: DRUG DEPENDENCY (ADVANCED DEVELOPMENT),AN23,17,Research and Development,17.1,Systems Development,,
AN24 R&D- MEDICAL: DRUG DEPENDENCY (ENGINEERING DEVELOPMENT),AN24,17,Research and Development,17.1,Systems Development,,
AN25 R&D- MEDICAL: DRUG DEPENDENCY (OPERATIONAL SYSTEMS DEVELOPMENT),AN25,17,Research and Development,17.2,Operational Systems Development,,
AN27 R&D- MEDICAL: DRUG DEPENDENCY (COMMERCIALIZED),AN27,17,Research and Development,17.4,Commericalization,,
AN31 (R&D- MEDICAL: ALCOHOL DEPENDENCY (BASIC RESEARCH)),AN31,17,Research and Development,17.3,Technology Base,,
AN32 (R&D- MEDICAL: ALCOHOL DEPENDENCY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN32,17,Research and Development,17.3,Technology Base,,
AN33 R&D- MEDICAL: ALCOHOL DEPENDENCY (ADVANCED DEVELOPMENT),AN33,17,Research and Development,17.1,Systems Development,,
AN34 R&D- MEDICAL: ALCOHOL DEPENDENCY (ENGINEERING DEVELOPMENT),AN34,17,Research and Development,17.1,Systems Development,,
AN35 R&D- MEDICAL: ALCOHOL DEPENDENCY (OPERATIONAL SYSTEMS DEVELOPMENT),AN35,17,Research and Development,17.2,Operational Systems Development,,
AN37 R&D- MEDICAL: ALCOHOL DEPENDENCY (COMMERCIALIZED),AN37,17,Research and Development,17.4,Commericalization,,
AN41 (R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH)),AN41,17,Research and Development,17.3,Technology Base,,
AN42 (R&D- MEDICAL: HEALTH SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN42,17,Research and Development,17.3,Technology Base,,
AN43 (R&D- MEDICAL: HEALTH SERVICES (ADVANCED DEVELOPMENT)),AN43,17,Research and Development,17.1,Systems Development,,
AN44 (R&D- MEDICAL: HEALTH SERVICES (ENGINEERING DEVELOPMENT)),AN44,17,Research and Development,17.1,Systems Development,,
AN45 (R&D- MEDICAL: HEALTH SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)),AN45,17,Research and Development,17.2,Operational Systems Development,,
AN47 (R&D- MEDICAL: HEALTH SERVICES (COMMERCIALIZED)),AN47,17,Research and Development,17.4,Commericalization,,
AN51 (R&D- MEDICAL: MENTAL HEALTH (BASIC RESEARCH)),AN51,17,Research and Development,17.3,Technology Base,,
AN52 (R&D- MEDICAL: MENTAL HEALTH (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN52,17,Research and Development,17.3,Technology Base,,
AN53 (R&D- MEDICAL: MENTAL HEALTH (ADVANCED DEVELOPMENT)),AN53,17,Research and Development,17.1,Systems Development,,
AN54 R&D- MEDICAL: MENTAL HEALTH (ENGINEERING DEVELOPMENT),AN54,17,Research and Development,17.1,Systems Development,,
AN55 (R&D- MEDICAL: MENTAL HEALTH (OPERATIONAL SYSTEMS DEVELOPMENT)),AN55,17,Research and Development,17.2,Operational Systems Development,,
AN57 (R&D- MEDICAL: MENTAL HEALTH (COMMERCIALIZED)),AN57,17,Research and Development,17.4,Commericalization,,
AN61 (R&D- MEDICAL: REHABILITATIVE ENGINEERING (BASIC RESEARCH)),AN61,17,Research and Development,17.3,Technology Base,,
AN62 (R&D- MEDICAL: REHABILITATIVE ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN62,17,Research and Development,17.3,Technology Base,,
AN63 (R&D- MEDICAL: REHABILITATIVE ENGINEERING (ADVANCED DEVELOPMENT)),AN63,17,Research and Development,17.1,Systems Development,,
AN64 (R&D- MEDICAL: REHABILITATIVE ENGINEERING (ENGINEERING DEVELOPMENT)),AN64,17,Research and Development,17.1,Systems Development,,
AN65 (R&D- MEDICAL: REHABILITATIVE ENGINEERING (OPERATIONAL SYSTEMS DEVELOPMENT)),AN65,17,Research and Development,17.2,Operational Systems Development,,
AN67 (R&D- MEDICAL: REHABILITATIVE ENGINEERING (COMMERCIALIZED)),AN67,17,Research and Development,17.4,Commericalization,,
AN71 (R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (BASIC RESEARCH)),AN71,17,Research and Development,17.3,Technology Base,,
AN72 (R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN72,17,Research and Development,17.3,Technology Base,,
AN73 (R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (ADVANCED DEVELOPMENT)),AN73,17,Research and Development,17.1,Systems Development,,
AN74 (R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (ENGINEERING DEVELOPMENT)),AN74,17,Research and Development,17.1,Systems Development,,
AN75 (R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (OPERATIONAL SYSTEMS DEVELOPMENT)),AN75,17,Research and Development,17.2,Operational Systems Development,,
AN77 (R&D- MEDICAL: SPECIALIZED MEDICAL SERVICES (COMMERCIALIZED)),AN77,17,Research and Development,17.4,Commericalization,,
AN81 (R&D- MEDICAL: AIDS RESEARCH (BASIC RESEARCH)),AN81,17,Research and Development,17.3,Technology Base,,
AN82 (R&D- MEDICAL: AIDS RESEARCH (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN82,17,Research and Development,17.3,Technology Base,,
AN83 (R&D- MEDICAL: AIDS RESEARCH (ADVANCED DEVELOPMENT)),AN83,17,Research and Development,17.1,Systems Development,,
AN84 R&D- MEDICAL: AIDS RESEARCH (ENGINEERING DEVELOPMENT),AN84,17,Research and Development,17.1,Systems Development,,
AN85 (R&D- MEDICAL: AIDS RESEARCH (OPERATIONAL SYSTEMS DEVELOPMENT)),AN85,17,Research and Development,17.2,Operational Systems Development,,
AN87 R&D- MEDICAL: AIDS RESEARCH (COMMERCIALIZED),AN87,17,Research and Development,17.4,Commericalization,,
AN91 (R&D- MEDICAL: OTHER (BASIC RESEARCH)),AN91,17,Research and Development,17.3,Technology Base,,
AN92 (R&D- MEDICAL: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AN92,17,Research and Development,17.3,Technology Base,,
AN93 (R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT)),AN93,17,Research and Development,17.1,Systems Development,,
AN94 (R&D- MEDICAL: OTHER (ENGINEERING DEVELOPMENT)),AN94,17,Research and Development,17.1,Systems Development,,
AN95 (R&D- MEDICAL: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)),AN95,17,Research and Development,17.2,Operational Systems Development,,
AN97 (R&D- MEDICAL: OTHER (COMMERCIALIZED)),AN97,17,Research and Development,17.4,Commericalization,,
AP21 (R&D- NATURAL RESOURCE: LAND (BASIC RESEARCH)),AP21,17,Research and Development,17.3,Technology Base,,
AP22 (R&D- NATURAL RESOURCE: LAND (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AP22,17,Research and Development,17.3,Technology Base,,
AP23 R&D- NATURAL RESOURCE: LAND (ADVANCED DEVELOPMENT),AP23,17,Research and Development,17.1,Systems Development,,
AP24 R&D- NATURAL RESOURCE: LAND (ENGINEERING DEVELOPMENT),AP24,17,Research and Development,17.1,Systems Development,,
AP25 (R&D- NATURAL RESOURCE: LAND (OPERATIONAL SYSTEMS DEVELOPMENT)),AP25,17,Research and Development,17.2,Operational Systems Development,,
AP27 (R&D- NATURAL RESOURCE: LAND (COMMERCIALIZED)),AP27,17,Research and Development,17.4,Commericalization,,
AP31 (R&D- NATURAL RESOURCE: MINERAL (BASIC RESEARCH)),AP31,17,Research and Development,17.3,Technology Base,,
AP32 (R&D- NATURAL RESOURCE: MINERAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AP32,17,Research and Development,17.3,Technology Base,,
AP33 (R&D- NATURAL RESOURCE: MINERAL (ADVANCED DEVELOPMENT)),AP33,17,Research and Development,17.1,Systems Development,,
AP34 R&D- NATURAL RESOURCE: MINERAL (ENGINEERING DEVELOPMENT),AP34,17,Research and Development,17.1,Systems Development,,
AP35 R&D- NATURAL RESOURCE: MINERAL (OPERATIONAL SYSTEMS DEVELOPMENT),AP35,17,Research and Development,17.2,Operational Systems Development,,
AP37 (R&D- NATURAL RESOURCE: MINERAL (COMMERCIALIZED)),AP37,17,Research and Development,17.4,Commericalization,,
AP41 (R&D- NATURAL RESOURCE: RECREATION (BASIC RESEARCH)),AP41,17,Research and Development,17.3,Technology Base,,
AP42 R&D- NATURAL RESOURCE: RECREATION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),AP42,17,Research and Development,17.3,Technology Base,,
AP43 R&D- NATURAL RESOURCE: RECREATION (ADVANCED DEVELOPMENT),AP43,17,Research and Development,17.1,Systems Development,,
AP44 R&D- NATURAL RESOURCE: RECREATION (ENGINEERING DEVELOPMENT),AP44,17,Research and Development,17.1,Systems Development,,
AP45 R&D- NATURAL RESOURCE: RECREATION (OPERATIONAL SYSTEMS DEVELOPMENT),AP45,17,Research and Development,17.2,Operational Systems Development,,
AP47 R&D- NATURAL RESOURCE: RECREATION (COMMERCIALIZED),AP47,17,Research and Development,17.4,Commericalization,,
AP51 (R&D- NATURAL RESOURCE: MARINE AND OCEANOGRAPHIC (BASIC RESEARCH)),AP51,17,Research and Development,17.3,Technology Base,,
AP52 (R&D- NATURAL RESOURCE: MARINE AND OCEANOGRAPHIC (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AP52,17,Research and Development,17.3,Technology Base,,
AP53 R&D- NATURAL RESOURCE: MARINE AND OCEANOGRAPHIC (ADVANCED DEVELOPMENT),AP53,17,Research and Development,17.1,Systems Development,,
AP54 (R&D- NATURAL RESOURCE: MARINE AND OCEANOGRAPHIC (ENGINEERING DEVELOPMENT)),AP54,17,Research and Development,17.1,Systems Development,,
AP55 R&D- NATURAL RESOURCE: MARINE AND OCEANOGRAPHIC (OPERATIONAL SYSTEMS DEVELOPMENT),AP55,17,Research and Development,17.2,Operational Systems Development,,
AP57 R&D- NATURAL RESOURCE: MARINE AND OCEANOGRAPHIC (COMMERCIALIZED),AP57,17,Research and Development,17.4,Commericalization,,
AP61 (R&D- NATURAL RESOURCE: MARINE FISHERIES (BASIC RESEARCH)),AP61,17,Research and Development,17.3,Technology Base,,
AP62 (R&D- NATURAL RESOURCE: MARINE FISHERIES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AP62,17,Research and Development,17.3,Technology Base,,
AP63 (R&D- NATURAL RESOURCE: MARINE FISHERIES (ADVANCED DEVELOPMENT)),AP63,17,Research and Development,17.1,Systems Development,,
AP64 (R&D- NATURAL RESOURCE: MARINE FISHERIES (ENGINEERING DEVELOPMENT)),AP64,17,Research and Development,17.1,Systems Development,,
AP65 R&D- NATURAL RESOURCE: MARINE FISHERIES (OPERATIONAL SYSTEMS DEVELOPMENT),AP65,17,Research and Development,17.2,Operational Systems Development,,
AP67 R&D- NATURAL RESOURCE: MARINE FISHERIES (COMMERCIALIZED),AP67,17,Research and Development,17.4,Commericalization,,
AP71 (R&D- NATURAL RESOURCE: ATMOSPHERIC (BASIC RESEARCH)),AP71,17,Research and Development,17.3,Technology Base,,
AP72 (R&D- NATURAL RESOURCE: ATMOSPHERIC (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AP72,17,Research and Development,17.3,Technology Base,,
AP73 (R&D- NATURAL RESOURCE: ATMOSPHERIC (ADVANCED DEVELOPMENT)),AP73,17,Research and Development,17.1,Systems Development,,
AP74 (R&D- NATURAL RESOURCE: ATMOSPHERIC (ENGINEERING DEVELOPMENT)),AP74,17,Research and Development,17.1,Systems Development,,
AP75 (R&D- NATURAL RESOURCE: ATMOSPHERIC (OPERATIONAL SYSTEMS DEVELOPMENT)),AP75,17,Research and Development,17.2,Operational Systems Development,,
AP77 R&D- NATURAL RESOURCE: ATMOSPHERIC (COMMERCIALIZED),AP77,17,Research and Development,17.4,Commericalization,,
AP91 (R&D- NATURAL RESOURCE: OTHER (BASIC RESEARCH)),AP91,17,Research and Development,17.3,Technology Base,,
AP92 (R&D- NATURAL RESOURCE: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AP92,17,Research and Development,17.3,Technology Base,,
AP93 (R&D- NATURAL RESOURCE: OTHER (ADVANCED DEVELOPMENT)),AP93,17,Research and Development,17.1,Systems Development,,
AP94 R&D- NATURAL RESOURCE: OTHER (ENGINEERING DEVELOPMENT),AP94,17,Research and Development,17.1,Systems Development,,
AP95 R&D- NATURAL RESOURCE: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),AP95,17,Research and Development,17.2,Operational Systems Development,,
AP97 (R&D- NATURAL RESOURCE: OTHER (COMMERCIALIZED)),AP97,17,Research and Development,17.4,Commericalization,,
AQ11 (R&D- SOCIAL SERVICES: GERIATRIC OTHER THAN MEDICAL (BASIC RESEARCH)),AQ11,17,Research and Development,17.3,Technology Base,,
AQ12 (R&D- SOCIAL SERVICES: GERIATRIC OTHER THAN MEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AQ12,17,Research and Development,17.3,Technology Base,,
AQ13 R&D- SOCIAL SERVICES: GERIATRIC OTHER THAN MEDICAL (ADVANCED DEVELOPMENT),AQ13,17,Research and Development,17.1,Systems Development,,
AQ14 R&D- SOCIAL SERVICES: GERIATRIC OTHER THAN MEDICAL (ENGINEERING DEVELOPMENT),AQ14,17,Research and Development,17.1,Systems Development,,
AQ15 R&D- SOCIAL SERVICES: GERIATRIC OTHER THAN MEDICAL (OPERATIONAL SYSTEMS DEVELOPMENT),AQ15,17,Research and Development,17.2,Operational Systems Development,,
AQ17 R&D- SOCIAL SERVICES: GERIATRIC OTHER THAN MEDICAL (COMMERCIALIZED),AQ17,17,Research and Development,17.4,Commericalization,,
AQ91 (R&D- SOCIAL SERVICES: OTHER (BASIC RESEARCH)),AQ91,17,Research and Development,17.3,Technology Base,,
AQ92 (R&D- SOCIAL SERVICES: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AQ92,17,Research and Development,17.3,Technology Base,,
AQ93 (R&D- SOCIAL SERVICES: OTHER (ADVANCED DEVELOPMENT)),AQ93,17,Research and Development,17.1,Systems Development,,
AQ94 (R&D- SOCIAL SERVICES: OTHER (ENGINEERING DEVELOPMENT)),AQ94,17,Research and Development,17.1,Systems Development,,
AQ95 (R&D- SOCIAL SERVICES: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)),AQ95,17,Research and Development,17.2,Operational Systems Development,,
AQ97 (R&D- SOCIAL SERVICES: OTHER (COMMERCIALIZED)),AQ97,17,Research and Development,17.4,Commericalization,,
AR11 (R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (BASIC RESEARCH)),AR11,17,Research and Development,17.3,Technology Base,,
AR12 (R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AR12,17,Research and Development,17.3,Technology Base,,
AR13 (R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ADVANCED DEVELOPMENT)),AR13,17,Research and Development,17.1,Systems Development,,
AR14 (R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (ENGINEERING DEVELOPMENT)),AR14,17,Research and Development,17.1,Systems Development,,
AR15 (R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (OPERATIONAL SYSTEMS DEVELOPMENT)),AR15,17,Research and Development,17.2,Operational Systems Development,,
AR17 (R&D- SPACE: AERONAUTICS/SPACE TECHNOLOGY (COMMERCIALIZED)),AR17,17,Research and Development,17.4,Commericalization,,
AR21 (R&D- SPACE: SCIENCE/APPLICATIONS (BASIC RESEARCH)),AR21,17,Research and Development,17.3,Technology Base,,
AR22 (R&D- SPACE: SCIENCE/APPLICATIONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AR22,17,Research and Development,17.3,Technology Base,,
AR23 (R&D- SPACE: SCIENCE/APPLICATIONS (ADVANCED DEVELOPMENT)),AR23,17,Research and Development,17.1,Systems Development,,
AR24 (R&D- SPACE: SCIENCE/APPLICATIONS (ENGINEERING DEVELOPMENT)),AR24,17,Research and Development,17.1,Systems Development,,
AR25 (R&D- SPACE: SCIENCE/APPLICATIONS (OPERATIONAL SYSTEMS DEVELOPMENT)),AR25,17,Research and Development,17.2,Operational Systems Development,,
AR27 R&D- SPACE: SCIENCE/APPLICATIONS (COMMERCIALIZED),AR27,17,Research and Development,17.4,Commericalization,,
AR31 (R&D- SPACE: FLIGHT (BASIC RESEARCH)),AR31,17,Research and Development,17.3,Technology Base,,
AR32 (R&D- SPACE: FLIGHT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AR32,17,Research and Development,17.3,Technology Base,,
AR33 (R&D- SPACE: FLIGHT (ADVANCED DEVELOPMENT)),AR33,17,Research and Development,17.1,Systems Development,,
AR34 (R&D- SPACE: FLIGHT (ENGINEERING DEVELOPMENT)),AR34,17,Research and Development,17.1,Systems Development,,
AR35 (R&D- SPACE: FLIGHT (OPERATIONAL SYSTEMS DEVELOPMENT)),AR35,17,Research and Development,17.2,Operational Systems Development,,
AR37 R&D- SPACE: FLIGHT (COMMERCIALIZED),AR37,17,Research and Development,17.4,Commericalization,,
"AR41 (R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (BASIC RESEARCH))",AR41,17,Research and Development,17.3,Technology Base,,
"AR42 R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",AR42,17,Research and Development,17.3,Technology Base,,
"AR43 (R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (ADVANCED DEVELOPMENT))",AR43,17,Research and Development,17.1,Systems Development,,
"AR44 (R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (ENGINEERING DEVELOPMENT))",AR44,17,Research and Development,17.1,Systems Development,,
"AR45 (R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (OPERATIONAL SYSTEMS DEVELOPMENT))",AR45,17,Research and Development,17.2,Operational Systems Development,,
"AR47 R&D- SPACE: OPERATIONS, TRACKING AND DATA ACQUISITION (COMMERCIALIZED)",AR47,17,Research and Development,17.4,Commericalization,,
AR61 R&D- SPACE: STATION (BASIC RESEARCH),AR61,17,Research and Development,17.3,Technology Base,,
AR62 (R&D- SPACE: STATION (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AR62,17,Research and Development,17.3,Technology Base,,
AR63 R&D- SPACE: STATION (ADVANCED DEVELOPMENT),AR63,17,Research and Development,17.1,Systems Development,,
AR64 (R&D- SPACE: STATION (ENGINEERING DEVELOPMENT)),AR64,17,Research and Development,17.1,Systems Development,,
AR65 R&D- SPACE: STATION (OPERATIONAL SYSTEMS DEVELOPMENT),AR65,17,Research and Development,17.2,Operational Systems Development,,
AR67 R&D- SPACE: STATION (COMMERCIALIZED),AR67,17,Research and Development,17.4,Commericalization,,
AR71 R&D- SPACE: COMMERCIAL PROGRAMS (BASIC RESEARCH),AR71,17,Research and Development,17.3,Technology Base,,
AR72 (R&D- SPACE: COMMERCIAL PROGRAMS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AR72,17,Research and Development,17.3,Technology Base,,
AR73 (R&D- SPACE: COMMERCIAL PROGRAMS (ADVANCED DEVELOPMENT)),AR73,17,Research and Development,17.1,Systems Development,,
AR74 (R&D- SPACE: COMMERCIAL PROGRAMS (ENGINEERING DEVELOPMENT)),AR74,17,Research and Development,17.1,Systems Development,,
AR75 R&D- SPACE: COMMERCIAL PROGRAMS (OPERATIONAL SYSTEMS DEVELOPMENT),AR75,17,Research and Development,17.2,Operational Systems Development,,
AR77 R&D- SPACE: COMMERCIAL PROGRAMS (COMMERCIALIZED),AR77,17,Research and Development,17.4,Commericalization,,
AR91 (R&D- SPACE: OTHER (BASIC RESEARCH)),AR91,17,Research and Development,17.3,Technology Base,,
AR92 (R&D- SPACE: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AR92,17,Research and Development,17.3,Technology Base,,
AR93 (R&D- SPACE: OTHER (ADVANCED DEVELOPMENT)),AR93,17,Research and Development,17.1,Systems Development,,
AR94 (R&D- SPACE: OTHER (ENGINEERING DEVELOPMENT)),AR94,17,Research and Development,17.1,Systems Development,,
AR95 (R&D- SPACE: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT)),AR95,17,Research and Development,17.2,Operational Systems Development,,
AR97 (R&D- SPACE: OTHER (COMMERCIALIZED)),AR97,17,Research and Development,17.4,Commericalization,,
AS11 (R&D- MODAL TRANSPORTATION: AIR (BASIC RESEARCH)),AS11,17,Research and Development,17.3,Technology Base,,
AS12 (R&D- MODAL TRANSPORTATION: AIR (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)),AS12,17,Research and Development,17.3,Technology Base,,
AS13 (R&D- MODAL TRANSPORTATION: AIR (ADVANCED DEVELOPMENT)),AS13,17,Research and Development,17.1,Systems Development,,
AS14 (R&D- MODAL TRANSPORTATION: AIR (ENGINEERING DEVELOPMENT)),AS14,17,Research and Development,17.1,Systems Development,,
AS15 (R&D- MODAL TRANSPORTATION: AIR (OPERATIONAL SYSTEMS DEVELOPMENT)),AS15,17,Research and Development,17.2,Operational Systems Development,,
AS17 (R&D- MODAL TRANSPORTATION: AIR (COMMERCIALIZED)),AS17,17,Research and Development,17.4,Commericalization,,
AS21 (R&D- MODAL TRANSPORTATION: SURFACE MOTOR VEHICLES (BASIC RESEARCH)),AS21,17,Research and Development,17.3,Technology Base,,
